stop_id,stop_name,stop_lat,stop_lon
101712-STOP_10651,忠孝國小,25.042898,121.531200
101712-STOP_10938,博愛路,25.043262,121.511555
101712-STOP_10958,臺視,25.048164,121.551053
101712-STOP_11442,南京吉林路口,25.052008,121.529855
101712-STOP_11487,捷運龍山寺站,25.035369,121.500584
101712-STOP_11781,民權大橋,25.066983,121.578954
101712-STOP_11892,忠孝敦化路口,25.041866,121.548754
101712-STOP_11997,植福宮,25.080848,121.548239
101712-STOP_12102,三和長榮路口,25.068360,121.499511
101712-STOP_121600,中和里,25.142272,121.498823
101712-STOP_12165,忠烈祠,25.078005,121.531914
101712-STOP_12504,聯合醫院仁愛院區,25.038504,121.543905
101712-STOP_10014,溪墘,25.081453,121.476637
101712-STOP_10035,內湖行政大樓,25.069183,121.588218
101712-STOP_10045,民權國小,25.062654,121.560535
101712-STOP_10176,捷運善導寺站,25.044844,121.522629
101712-STOP_10205,大樹木業,25.062420,121.629960
101712-STOP_10328,臺北郵局,25.046765,121.511294
101712-STOP_10387,捷運葫洲站(康寧大學),25.072621,121.607611
101712-STOP_10626,捷運後山埤站(永吉),25.045455,121.581723
101712-STOP_109511,捷運頭前庄站,25.039912,121.462310
101712-STOP_11329,內湖國中,25.077010,121.587760
101712-STOP_11390,中和農會(中和路),25.001903,121.499736
101712-STOP_11444,捷運松江南京站,25.051991,121.532641
101712-STOP_11459,台電大樓,25.018486,121.530566
101712-STOP_11612,世貿中心(基隆路),25.033619,121.559741
101712-STOP_11856,士林市場(銘傳會館),25.088165,121.523626
101712-STOP_11949,明湖國中,25.070261,121.611642
101712-STOP_11967,湖光市場,25.081779,121.591794
101712-STOP_12094,大智街口,25.070453,121.492137
101712-STOP_12161,圓山大飯店,25.077270,121.528167
101712-STOP_12429,南機場公寓,25.028592,121.505408
101712-STOP_10023,捷運葫洲站(康寧大學),25.072621,121.607611
101712-STOP_10036,三和長榮路口,25.068360,121.499511
101712-STOP_10187,捷運國父紀念館站(忠孝),25.041190,121.559340
101712-STOP_10585,五華國小,25.087786,121.493300
101712-STOP_10914,臺北醫院(復興路),25.044339,121.458374
101712-STOP_11227,齊賢華廈,25.118570,121.525250
101712-STOP_11414,樂華夜市,25.008564,121.514118
101712-STOP_11493,華江高中(西園),25.029658,121.495951
101712-STOP_11554,昌吉重慶路口,25.066150,121.513644
101712-STOP_11601,台北海大,25.108189,121.470855
101712-STOP_11771,瑞光港墘路口,25.078319,121.570459
101712-STOP_11874,延三觀光夜市,25.064320,121.511052
101712-STOP_11988,台電大樓,25.017546,121.531379
101712-STOP_12013,捷運圓山站,25.069744,121.520216
101712-STOP_12195,瑞光港墘路口,25.078319,121.570459
101712-STOP_12295,黃石公廟,25.077575,121.606985
101712-STOP_12323,南京寧安街口,25.051660,121.555516
101712-STOP_10253,國防醫學大學,25.068310,121.596130
101712-STOP_10433,捷運松江南京站,25.052114,121.533302
101712-STOP_10561,樓厝一,25.089878,121.477423
101712-STOP_10648,捷運忠孝復興站,25.041770,121.542636
101712-STOP_10764,捷運永春站(忠孝),25.040967,121.575743
101712-STOP_10932,內江街,25.041538,121.505132
101712-STOP_10966,八德東寧路口,25.048703,121.563714
101712-STOP_11565,小南門,25.038008,121.506813
101712-STOP_11568,龍山寺(康定),25.036314,121.501464
101712-STOP_11992,師大分部,25.008141,121.538064
101712-STOP_12379,捷運西門站,25.042517,121.508267
101712-STOP_10058,捷運中山國中站,25.061481,121.544034
101712-STOP_10158,新莊棒球場(立功里立德里),25.041709,121.446267
101712-STOP_11159,白雲山莊,25.123070,121.551465
101712-STOP_11167,山仔后派出所,25.136106,121.546297
101712-STOP_11229,榮總一,25.118825,121.520552
101712-STOP_11337,瑞光路,25.074821,121.577343
101712-STOP_11890,臺安醫院,25.048142,121.546297
101712-STOP_11955,康寧醫院,25.075431,121.607245
101712-STOP_11971,內湖高中,25.079013,121.588310
101712-STOP_11973,捷運文德站(碧湖公園),25.078655,121.584351
101712-STOP_121566,公館山,25.071952,121.581177
101712-STOP_121595,第一銀行,25.134899,121.502568
101712-STOP_124215,經國七海文化園區,25.077782,121.535397
101712-STOP_10012,蘆洲派出所,25.081859,121.473209
101712-STOP_10021,明湖國小(公共電視台),25.071810,121.609308
101712-STOP_10188,聯合報,25.041134,121.562106
101712-STOP_10209,理明社區,25.064600,121.633609
101712-STOP_10265,南港高中,25.053020,121.594980
101712-STOP_10395,美國在臺協會,25.079518,121.599295
101712-STOP_10742,南港水廠,25.048610,121.616017
101712-STOP_10776,阿波羅大廈,25.041561,121.553289
101712-STOP_11163,下竹林,25.129780,121.547625
101712-STOP_11169,文化大學,25.138756,121.546582
101712-STOP_11268,石門,25.129330,121.505660
101712-STOP_11327,成功路三段,25.079854,121.589838
101712-STOP_11809,大同分局,25.060110,121.514663
101712-STOP_11895,信義大安路口,25.033384,121.546167
101712-STOP_11941,經貿園區,25.066623,121.621242
101712-STOP_121586,陽明交大(東華),25.119636,121.511973
101712-STOP_121615,水鋼琴社區,24.981691,121.580962
101712-STOP_12312,天母,25.124204,121.532450
101712-STOP_12334,永明派出所,25.117220,121.516366
101712-STOP_12336,綜合市場(捷運石牌站),25.115911,121.515502
101712-STOP_10008,蘆洲國小,25.083020,121.470464
101712-STOP_11416,捷運頂溪站,25.012580,121.515273
101712-STOP_11542,海光新村,25.081321,121.510389
101712-STOP_11710,信義通化街口,25.033193,121.554622
101712-STOP_11933,世電社區,25.066003,121.631401
101712-STOP_11950,復興南路(埤頭里),25.046500,121.543770
101712-STOP_12299,康寧社區,25.074329,121.606312
101712-STOP_12511,捷運中山國中站,25.060855,121.544405
101712-STOP_10007,興華路,25.055813,121.605788
101712-STOP_10326,博愛路,25.043262,121.511555
101712-STOP_10624,聯合醫院忠孝院區,25.047521,121.584230
101712-STOP_10657,聯合醫院和平院區,25.036493,121.506508
101712-STOP_10766,市立工農,25.041107,121.572277
101712-STOP_10915,南京公寓(捷運南京三民),25.051276,121.564943
101712-STOP_11179,格致大亨路口,25.143050,121.549265
101712-STOP_11440,南京林森路口,25.052069,121.525060
101712-STOP_11455,師大分部,25.007671,121.538470
101712-STOP_11751,碧湖山莊,25.084540,121.584250
101712-STOP_121773,捷運先嗇宮站,25.046158,121.471374
101712-STOP_12340,石牌路,25.113305,121.510534
101712-STOP_125326,交通部觀光署,25.041537,121.556121
101712-STOP_125227,捷運台電大樓站,25.020920,121.528030
101712-STOP_125618,內湖高中,25.078704,121.587566
101712-STOP_125222,捷運萬隆站,25.001363,121.539389
101712-STOP_125228,羅斯福浦城街口,25.022145,121.526570
101712-STOP_125203,仁愛安和路口,25.037960,121.551810
101712-STOP_125202,仁愛國泰醫院,25.037829,121.553216
101712-STOP_12514,民權松江路口,25.062525,121.533439
101712-STOP_12519,劍潭,25.080589,121.524382
101712-STOP_125245,市民大道口,25.045758,121.549194
101712-STOP_125235,龍門國中(和平),25.025407,121.538492
101712-STOP_125226,台電大樓,25.018486,121.530566
101712-STOP_125586,下竹林,25.129470,121.547537
101712-STOP_12746,臺北市區監理所,25.048547,121.560263
101712-STOP_129764,天台廣場,25.062277,121.498323
101712-STOP_129807,中華科技大學(正門),25.033828,121.609765
101712-STOP_129867,淡江大學,25.176635,121.448174
101712-STOP_129877,捷運紅樹林站,25.153831,121.459146
101712-STOP_13080,天母國中,25.118230,121.536830
101712-STOP_13090,蘭雅新城,25.107167,121.529800
101712-STOP_13536,天母新村,25.121299,121.531566
101712-STOP_14250,捷運七張站,24.975300,121.543045
101712-STOP_14412,碧潭橋頭,24.963158,121.539820
101712-STOP_14673,貓纜動物園站,24.996800,121.576778
101712-STOP_125789,貓纜動物園站,24.996800,121.576778
101712-STOP_12617,大安國中,25.032075,121.548393
101712-STOP_12828,中崙,25.047208,121.543120
101712-STOP_12834,美仁里,25.048000,121.554150
101712-STOP_129895,庫倫街口,25.071066,121.518334
101712-STOP_13139,聯合醫院忠孝院區,25.048227,121.585736
101712-STOP_13145,蘆洲里,25.062152,121.597205
101712-STOP_13488,臺北醫院(復興路),25.044339,121.458374
101712-STOP_13508,捷運台北橋站,25.063054,121.500440
101712-STOP_136150,政大御花園,24.985656,121.587266
101712-STOP_136163,信義松仁路口(信義),25.032950,121.566688
101712-STOP_136164,捷運台北101/世貿站(市府),25.034513,121.563576
101712-STOP_13722,士林官邸(中山),25.094777,121.528320
101712-STOP_14454,仁愛新生路口,25.037797,121.532870
101712-STOP_14584,中央路,24.977453,121.532852
101712-STOP_14675,萬壽橋頭(新光),24.993482,121.573630
101712-STOP_14702,青潭(北宜路),24.952627,121.547001
101712-STOP_125624,捷運大湖公園站,25.083430,121.602592
101712-STOP_125660,菁山遊憩區一,25.151387,121.561320
101712-STOP_12808,民族東路口,25.067310,121.527560
101712-STOP_13174,捷運後山埤站(永吉),25.045455,121.581723
101712-STOP_13178,國民住宅,25.045708,121.573426
101712-STOP_13260,小北街,25.090999,121.526725
101712-STOP_13264,明倫高中,25.073440,121.519152
101712-STOP_13378,中興新村,24.998377,121.516566
101712-STOP_134700,自強隧道,25.083775,121.549028
101712-STOP_13496,中興街口,25.045403,121.469408
101712-STOP_13583,誠正國中,25.051546,121.616031
101712-STOP_14234,青潭一,24.953051,121.542873
101712-STOP_14382,大茅埔,24.954318,121.494663
101712-STOP_14402,下城社區,24.963474,121.523525
101712-STOP_125337,中華路北站,25.045512,121.509144
101712-STOP_125547,行善行愛路口,25.061324,121.583819
101712-STOP_12752,臺視,25.048279,121.550231
101712-STOP_12864,東明里/臺北流行音樂中心,25.053841,121.598140
101712-STOP_12880,捷運東湖站(南湖高中),25.067207,121.611574
101712-STOP_12912,博愛新村,25.069419,121.477545
101712-STOP_129896,民族承德路口,25.067913,121.518267
101712-STOP_13010,東海中學,25.065398,121.482301
101712-STOP_13082,忠誠路口,25.118236,121.535440
101712-STOP_13165,天母廣場,25.119325,121.530609
101712-STOP_13198,南京龍江路口,25.051995,121.540853
101712-STOP_13405,仁愛國泰醫院,25.037669,121.552717
101712-STOP_134703,大直高中,25.079781,121.543684
101712-STOP_134708,通北街口,25.079980,121.541188
101712-STOP_13658,捷運台大醫院站,25.041927,121.516353
101712-STOP_142251,連城路口,25.000476,121.497728
101712-STOP_14238,文山國中,24.955388,121.539103
101712-STOP_14274,捷運松江南京站,25.051800,121.533087
101712-STOP_14624,捷運台電大樓站,25.020920,121.528030
101712-STOP_14699,木柵高工,24.996045,121.572328
101712-STOP_125233,溫州街口,25.026097,121.533013
101712-STOP_125331,正義郵局,25.041848,121.539215
101712-STOP_12860,玉成國小,25.054083,121.592107
101712-STOP_129874,外竿蓁林,25.162178,121.452590
101712-STOP_13175,綜合市場(捷運石牌站),25.115911,121.515502
101712-STOP_13259,士林,25.095912,121.524279
101712-STOP_136140,榮總一,25.118825,121.520552
101712-STOP_13729,台北美國/日僑學校,25.115690,121.528160
101712-STOP_13740,惇敘工商(行義),25.143480,121.527270
101712-STOP_14258,捷運景美站,24.992341,121.540757
