trip_id,start_time,end_time,headway_secs
101712-107480:0:svc-4:2,06:45:00,06:45:01,86400
101712-107480:0:svc-4:2,07:10:00,07:10:01,86400
101712-107480:0:svc-4:2,07:50:00,07:50:01,86400
101712-107480:0:svc-4:2,09:30:00,09:30:01,86400
101712-107480:0:svc-4:2,10:00:00,10:00:01,86400
101712-107480:0:svc-4:2,11:40:00,11:40:01,86400
101712-107480:0:svc-4:2,12:50:00,12:50:01,86400
101712-107480:0:svc-4:2,14:00:00,14:00:01,86400
101712-107480:0:svc-4:2,14:30:00,14:30:01,86400
101712-107480:0:svc-4:2,15:00:00,15:00:01,86400
101712-107480:0:svc-4:2,15:40:00,15:40:01,86400
101712-107480:0:svc-4:2,16:30:00,16:30:01,86400
101712-107480:0:svc-4:2,16:55:00,16:55:01,86400
101712-107480:0:svc-4:2,17:40:00,17:40:01,86400
101712-107480:0:svc-4:2,19:55:00,19:55:01,86400
101712-107480:0:svc-4:2,23:00:00,23:00:01,86400
101712-107480:0:svc-2:2,05:30:00,05:30:01,86400
101712-107480:0:svc-2:2,06:50:00,06:50:01,86400
101712-107480:0:svc-2:2,07:30:00,07:30:01,86400
101712-107480:0:svc-2:2,09:00:00,09:00:01,86400
101712-107480:0:svc-2:2,10:10:00,10:10:01,86400
101712-107480:0:svc-2:2,11:40:00,11:40:01,86400
101712-107480:0:svc-2:2,12:40:00,12:40:01,86400
101712-107480:0:svc-2:2,14:30:00,14:30:01,86400
101712-107480:0:svc-2:2,15:30:00,15:30:01,86400
101712-107480:0:svc-2:2,17:00:00,17:00:01,86400
101712-107480:0:svc-2:2,18:00:00,18:00:01,86400
101712-107480:0:svc-2:2,19:30:00,19:30:01,86400
101712-107480:0:svc-2:2,22:00:00,22:00:01,86400
101712-107480:0:svc-2:2,23:00:00,23:00:01,86400
101712-107480:0:svc-1:2,05:30:00,05:30:01,86400
101712-107480:0:svc-1:2,06:50:00,06:50:01,86400
101712-107480:0:svc-1:2,07:30:00,07:30:01,86400
101712-107480:0:svc-1:2,09:00:00,09:00:01,86400
101712-107480:0:svc-1:2,10:10:00,10:10:01,86400
101712-107480:0:svc-1:2,11:40:00,11:40:01,86400
101712-107480:0:svc-1:2,12:40:00,12:40:01,86400
101712-107480:0:svc-1:2,14:30:00,14:30:01,86400
101712-107480:0:svc-1:2,15:30:00,15:30:01,86400
101712-107480:0:svc-1:2,17:00:00,17:00:01,86400
101712-107480:0:svc-1:2,18:00:00,18:00:01,86400
101712-107480:0:svc-1:2,19:30:00,19:30:01,86400
101712-107480:0:svc-1:2,22:00:00,22:00:01,86400
101712-107480:0:svc-1:2,23:00:00,23:00:01,86400
101712-155894:0:svc-1:3,04:40:00,05:00:00,1200
101712-155894:0:svc-64:3,04:40:00,05:00:00,1200
101712-155894:0:svc-32:3,04:40:00,05:00:00,1200
101712-155894:0:svc-16:3,04:40:00,05:00:00,1200
101712-155894:0:svc-8:3,04:40:00,05:00:00,1200
101712-155894:0:svc-4:3,04:40:00,05:00:00,1200
101712-155894:0:svc-2:3,04:40:00,05:00:00,1200
101712-10292:0:svc-1:4,21:30:00,21:30:01,86400
101712-10292:0:svc-1:4,22:30:00,22:30:01,86400
101712-10292:0:svc-1:4,23:30:00,23:30:01,86400
101712-10292:0:svc-64:4,21:30:00,21:30:01,86400
101712-10292:0:svc-64:4,22:30:00,22:30:01,86400
101712-10292:0:svc-64:4,23:30:00,23:30:01,86400
101712-10292:0:svc-32:4,21:30:00,21:30:01,86400
101712-10292:0:svc-32:4,22:30:00,22:30:01,86400
101712-10292:0:svc-32:4,23:30:00,23:30:01,86400
101712-10292:0:svc-16:4,21:30:00,21:30:01,86400
101712-10292:0:svc-16:4,22:30:00,22:30:01,86400
101712-10292:0:svc-16:4,23:30:00,23:30:01,86400
101712-10292:0:svc-8:4,21:30:00,21:30:01,86400
101712-10292:0:svc-8:4,22:30:00,22:30:01,86400
101712-10292:0:svc-8:4,23:30:00,23:30:01,86400
101712-10292:0:svc-4:4,21:30:00,21:30:01,86400
101712-10292:0:svc-4:4,22:30:00,22:30:01,86400
101712-10292:0:svc-4:4,23:30:00,23:30:01,86400
101712-10292:0:svc-2:4,21:30:00,21:30:01,86400
101712-10292:0:svc-2:4,22:30:00,22:30:01,86400
101712-10292:0:svc-2:4,23:30:00,23:30:01,86400
101712-10292:0:svc-1:4,05:40:00,21:30:00,1800
101712-10292:0:svc-64:4,05:40:00,07:00:00,1200
101712-10292:0:svc-64:4,07:00:00,08:00:00,900
101712-10292:0:svc-64:4,08:00:00,16:00:00,1200
101712-10292:0:svc-64:4,16:00:00,17:00:00,900
101712-10292:0:svc-64:4,17:00:00,21:30:00,1200
101712-10292:0:svc-32:4,05:40:00,07:00:00,1200
101712-10292:0:svc-32:4,07:00:00,08:00:00,900
101712-10292:0:svc-32:4,08:00:00,16:00:00,1200
101712-10292:0:svc-32:4,16:00:00,17:00:00,900
101712-10292:0:svc-32:4,17:00:00,21:30:00,1200
101712-10292:0:svc-16:4,05:40:00,07:00:00,1200
101712-10292:0:svc-16:4,07:00:00,08:00:00,900
101712-10292:0:svc-16:4,08:00:00,16:00:00,1200
101712-10292:0:svc-16:4,16:00:00,17:00:00,900
101712-10292:0:svc-16:4,17:00:00,21:30:00,1200
101712-10292:0:svc-8:4,05:40:00,07:00:00,1200
101712-10292:0:svc-8:4,07:00:00,08:00:00,900
101712-10292:0:svc-8:4,08:00:00,16:00:00,1200
101712-10292:0:svc-8:4,16:00:00,17:00:00,900
101712-10292:0:svc-8:4,17:00:00,21:30:00,1200
101712-10292:0:svc-4:4,05:40:00,07:00:00,1200
101712-10292:0:svc-4:4,07:00:00,08:00:00,900
101712-10292:0:svc-4:4,08:00:00,16:00:00,1200
101712-10292:0:svc-4:4,16:00:00,17:00:00,900
101712-10292:0:svc-4:4,17:00:00,21:30:00,1200
101712-10292:0:svc-2:4,05:40:00,21:30:00,1800
101712-10231:0:svc-1:5,21:50:00,21:50:01,86400
101712-10231:0:svc-64:5,21:50:00,21:50:01,86400
101712-10231:0:svc-32:5,21:50:00,21:50:01,86400
101712-10231:0:svc-16:5,21:50:00,21:50:01,86400
101712-10231:0:svc-8:5,21:50:00,21:50:01,86400
101712-10231:0:svc-4:5,21:50:00,21:50:01,86400
101712-10231:0:svc-2:5,21:50:00,21:50:01,86400
101712-10231:0:svc-1:5,22:10:00,22:10:01,86400
101712-10231:0:svc-64:5,22:10:00,22:10:01,86400
101712-10231:0:svc-32:5,22:10:00,22:10:01,86400
101712-10231:0:svc-16:5,22:10:00,22:10:01,86400
101712-10231:0:svc-8:5,22:10:00,22:10:01,86400
101712-10231:0:svc-4:5,22:10:00,22:10:01,86400
101712-10231:0:svc-2:5,22:10:00,22:10:01,86400
101712-10231:0:svc-1:5,22:50:00,22:50:01,86400
101712-10231:0:svc-64:5,22:50:00,22:50:01,86400
101712-10231:0:svc-32:5,22:50:00,22:50:01,86400
101712-10231:0:svc-16:5,22:50:00,22:50:01,86400
101712-10231:0:svc-8:5,22:50:00,22:50:01,86400
101712-10231:0:svc-4:5,22:50:00,22:50:01,86400
101712-10231:0:svc-2:5,22:50:00,22:50:01,86400
101712-10231:0:svc-1:5,23:40:00,23:40:01,86400
101712-10231:0:svc-64:5,23:40:00,23:40:01,86400
101712-10231:0:svc-32:5,23:40:00,23:40:01,86400
101712-10231:0:svc-16:5,23:40:00,23:40:01,86400
101712-10231:0:svc-8:5,23:40:00,23:40:01,86400
101712-10231:0:svc-4:5,23:40:00,23:40:01,86400
